cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cluster_idx
155,482,541,24,462,46,239,143,250,312,55
328,469,80,189,171,34,283,533,81,377,98
75,753,272,7,396,24,258,393,137,47,28
287,330,306,239,324,67,148,582,253,151,57
328,469,80,189,394,34,283,328,81,5,98
237,840,389,4,406,6,576,492,155,420,13
436,99,46,140,316,78,460,634,186,113,31
407,661,58,31,387,39,205,37,126,78,47
383,463,0,59,395,42,409,372,42,356,90
436,92,46,140,316,27,460,206,198,113,31
79,145,522,197,33,40,113,532,240,287,60
84,822,153,209,199,87,156,580,227,225,0
406,232,55,93,415,69,273,64,33,8,51
191,421,521,3,319,30,111,387,182,124,4
41,231,42,225,124,80,479,537,97,238,37
140,296,208,138,310,68,202,303,156,170,79
60,411,17,193,51,57,39,336,13,232,62
299,351,495,8,445,83,512,320,266,69,75
195,197,372,190,90,103,222,317,233,403,94
64,90,330,10,337,11,272,453,164,246,3
25,35,523,214,181,101,565,426,121,380,9
28,115,17,181,115,0,40,509,59,29,56
299,617,495,8,377,83,512,320,188,69,75
407,661,58,31,387,60,205,37,126,78,47
145,571,24,215,243,7,286,610,18,377,49
60,246,17,193,51,57,462,336,227,232,62
168,392,537,36,80,16,528,23,167,60,95
145,571,24,215,243,49,286,610,241,377,49
39,321,353,191,152,6,490,490,133,100,33
280,36,274,131,214,10,161,115,167,267,6
140,247,208,138,310,68,202,303,19,257,79
328,581,80,189,394,34,283,533,29,377,98
190,412,341,124,322,90,394,245,219,113,82
59,364,383,249,112,73,274,85,189,134,41
141,481,219,121,395,38,424,165,75,103,26
299,351,495,8,377,83,214,320,261,69,75
386,364,207,73,125,66,394,447,251,287,1
349,496,390,174,221,105,272,274,28,246,68
145,571,24,63,430,7,286,610,18,377,49
119,497,543,177,78,56,198,449,259,293,29
155,482,37,24,462,46,110,143,271,312,55
22,548,417,46,77,66,209,173,283,262,25
430,159,474,22,449,101,487,554,64,146,77
195,197,372,190,1,102,222,317,233,403,94
383,58,0,59,395,42,225,372,279,417,90
60,411,17,193,51,57,462,336,227,232,62
82,642,424,12,337,99,468,256,216,98,86
195,95,76,190,90,102,222,317,233,403,94
75,753,488,7,432,24,258,393,137,47,28
375,171,480,252,280,43,551,550,190,91,85
82,642,424,227,337,16,95,256,275,98,86
88,448,182,75,62,33,274,204,289,395,23
131,321,353,191,152,54,333,490,133,100,33
145,571,24,215,243,7,286,99,18,377,49
406,143,55,93,332,69,273,64,33,8,51
278,103,123,37,426,49,34,604,219,316,58
181,58,0,59,395,42,409,372,279,356,90
25,635,523,214,181,101,565,537,121,88,9
446,171,480,252,206,43,551,550,190,91,85
111,232,474,22,449,21,487,554,75,146,77
141,574,293,70,388,25,47,306,122,26,45
168,779,537,36,80,66,528,274,167,148,95
351,775,290,143,0,83,345,517,142,29,64
38,559,548,189,231,115,178,581,230,244,89
122,66,122,202,491,38,76,333,221,193,63
88,448,483,75,62,33,32,204,289,395,23
411,149,385,33,442,23,547,485,252,310,32
328,469,80,189,41,34,283,533,261,377,98
39,321,294,191,152,54,333,490,133,100,33
25,635,36,214,181,101,565,537,121,380,9
270,686,236,243,423,14,541,130,96,7,8
88,448,483,75,62,33,274,204,289,294,23
152,191,438,185,66,94,67,611,105,99,19
299,351,495,187,377,83,390,320,266,69,75
328,469,80,189,394,34,61,533,81,377,98
59,364,567,249,112,73,274,85,207,134,41
245,351,495,8,377,83,512,320,266,69,75
251,482,244,169,134,81,389,284,1,226,92
406,127,55,93,82,69,273,64,33,8,51
141,574,293,70,388,25,47,445,122,396,45
98,818,2,112,182,94,404,571,178,325,97
82,448,424,12,337,16,468,256,275,98,86
119,59,543,216,78,56,198,178,259,293,29
270,686,389,243,192,14,13,130,96,7,8
166,771,191,38,394,33,440,438,2,279,44
407,240,495,202,471,35,424,192,217,193,65
119,110,265,188,45,87,140,152,154,213,59
140,247,12,138,310,68,202,303,156,257,79
82,642,424,12,337,60,468,256,275,98,86
88,448,483,75,62,33,274,563,289,395,23
75,753,488,7,344,24,258,323,137,47,28
191,421,521,3,319,30,225,387,182,124,4
331,801,471,15,311,7,20,136,146,333,76
284,492,546,193,243,23,326,300,28,177,40
51,465,115,28,195,107,400,449,30,96,18
134,753,488,7,344,24,258,393,137,47,28
389,27,525,228,209,42,263,111,285,12,74
259,444,164,53,64,73,464,355,86,306,17
344,149,385,33,442,23,338,485,252,179,32
349,25,522,77,216,111,101,557,237,123,34
79,778,522,197,33,40,113,532,225,287,60
28,440,17,181,115,0,76,509,59,94,56
54,81,491,49,305,90,339,291,26,201,72
141,481,219,32,395,78,424,165,75,103,26
144,354,420,157,202,88,524,513,57,333,48
51,465,186,28,257,114,400,449,30,96,18
39,321,353,191,152,54,333,490,124,100,33
224,195,178,11,273,45,49,544,123,212,21
14,620,353,191,152,54,333,490,133,100,33
24,516,398,78,480,105,564,7,83,122,16
224,195,178,11,273,45,49,87,123,212,21
150,388,416,104,13,115,361,377,41,154,5
108,483,421,98,495,71,414,499,73,48,99
404,384,355,64,18,86,243,10,139,150,24
322,387,500,12,487,72,42,580,146,313,91
351,775,290,143,0,90,269,517,142,29,64
446,171,480,252,321,43,551,550,190,91,85
224,195,178,11,273,45,49,626,123,400,21
331,801,424,15,311,7,20,55,146,50,76
294,349,468,190,350,30,63,503,136,172,52
142,473,50,216,247,79,157,481,39,47,93
299,351,449,8,377,83,512,320,266,69,75
438,750,109,179,224,73,384,251,157,337,35
251,482,245,169,134,38,389,284,1,226,92
407,240,495,201,283,22,424,192,217,73,65
64,90,330,10,337,51,235,453,164,161,3
29,299,28,105,373,49,253,91,71,76,46
407,240,487,202,283,35,424,273,217,73,65
282,342,67,199,319,106,465,111,155,85,7
407,661,338,31,387,39,205,219,126,78,47
306,574,293,70,388,25,47,30,122,231,45
141,481,219,121,395,105,424,165,75,103,26
54,258,491,49,172,49,339,291,26,201,72
141,481,296,121,395,91,424,165,75,103,26
351,775,290,224,0,83,269,517,142,29,64
28,115,17,181,115,0,329,509,139,94,56
383,58,0,59,395,42,409,35,279,356,90
122,66,122,202,491,38,390,333,221,193,63
287,330,323,204,324,67,148,582,121,151,57
195,197,372,70,90,102,222,317,233,403,94
320,775,507,120,304,19,424,588,209,312,15
316,842,123,37,426,49,34,604,219,316,58
184,115,17,181,115,0,76,509,59,94,56
30,532,415,53,31,96,351,450,119,151,96
22,548,136,46,77,66,162,173,283,262,25
144,774,420,157,202,88,524,513,57,270,48
322,387,500,12,487,72,187,580,146,313,91
419,735,590,162,134,103,170,194,221,95,66
179,299,28,105,373,98,253,118,71,76,46
331,801,471,6,311,7,20,393,146,50,76
191,421,521,53,319,30,83,387,182,124,4
276,466,212,230,308,13,250,389,16,157,84
389,27,525,228,209,42,263,234,285,343,74
54,258,491,49,172,66,339,291,26,201,72
125,197,372,190,90,102,222,444,233,403,94
56,149,385,33,442,23,191,485,99,179,32
146,330,323,162,324,67,148,582,121,151,57
59,364,30,249,166,73,274,85,189,134,41
39,321,353,191,152,54,550,490,133,100,33
446,171,480,252,88,43,551,550,103,91,85
82,642,424,12,337,54,468,256,275,98,86
75,753,378,7,344,24,258,393,137,47,28
28,115,17,181,25,0,76,509,59,94,56
39,321,353,191,152,54,333,490,133,100,33
261,331,480,179,272,60,37,629,150,56,87
64,27,330,10,299,11,235,453,164,246,3
128,840,389,118,33,6,576,492,155,420,13
82,642,545,12,337,57,468,256,275,98,86
370,444,164,53,64,92,464,355,120,306,17
75,753,488,214,344,24,258,393,137,47,28
39,357,285,191,152,54,333,490,133,100,33
195,197,586,190,90,102,222,317,290,403,94
387,710,209,136,409,13,469,480,284,359,53
88,448,483,25,62,33,540,204,289,395,23
342,349,468,190,145,100,63,503,136,172,52
64,90,308,10,337,11,235,453,164,246,3
316,673,63,6,27,16,525,92,293,161,30
71,707,522,77,216,111,101,557,183,123,34
100,750,109,252,224,73,425,251,157,337,35
224,195,178,11,273,45,287,626,123,212,21
283,465,303,29,268,65,494,430,223,253,83
389,117,78,124,386,84,119,110,152,369,27
195,197,372,190,90,98,98,317,233,403,94
383,58,482,214,395,42,409,372,279,356,90
282,342,89,199,395,106,545,111,155,85,7
331,836,471,15,311,7,20,136,146,50,76
28,115,17,181,115,0,76,639,59,94,56
237,840,389,118,33,6,362,492,155,420,13
365,852,274,131,214,10,560,115,167,267,6
24,516,7,11,480,105,564,7,83,122,16
152,404,367,185,66,94,67,47,105,385,19
140,247,343,138,310,68,202,303,280,257,79
386,271,447,73,125,66,155,498,251,287,1
140,247,208,138,310,68,202,303,156,385,79
299,351,495,8,377,83,512,320,101,284,75
251,482,244,169,134,38,389,536,1,226,92
389,27,525,228,209,42,263,445,285,343,74
403,58,0,59,395,42,409,372,279,356,90
24,516,398,11,480,52,564,479,83,122,16
30,532,415,53,291,83,351,450,55,151,96
348,465,115,28,257,107,400,449,30,96,18
430,232,488,22,449,101,487,554,75,146,77
359,495,288,36,219,114,452,351,219,80,50
349,496,390,174,221,105,272,120,28,94,68
141,481,210,121,395,78,424,165,75,103,26
349,752,390,174,221,105,272,120,28,246,68
169,680,267,134,418,46,262,285,276,261,22
144,774,420,157,202,88,524,513,57,336,48
198,483,421,98,495,71,414,499,73,111,99
397,197,303,190,90,102,222,317,233,403,94
195,197,556,190,90,102,209,317,233,403,94
337,299,28,105,373,98,253,91,71,136,46
79,403,455,197,33,40,113,532,240,287,60
9,198,68,133,418,64,145,574,72,390,71
79,443,240,197,33,40,113,532,240,287,60
261,331,480,179,39,18,37,629,116,56,87
79,778,556,197,33,40,113,532,240,287,60
406,143,55,93,82,69,273,64,33,258,51
282,342,67,37,319,106,545,111,155,85,7
348,191,367,185,66,94,67,611,105,181,19
322,387,500,18,487,72,187,580,146,313,91
224,608,178,11,273,45,49,626,185,212,21
294,349,187,190,145,100,63,503,136,172,52
51,465,115,28,257,107,400,449,30,359,18
141,574,293,70,388,25,265,30,122,26,45
299,351,495,208,377,83,512,320,266,64,75
331,590,471,15,311,7,20,136,146,50,76
224,195,178,11,273,45,49,626,123,1,21
3,101,141,18,89,0,330,214,77,183,14
386,364,447,73,125,66,155,447,251,287,1
119,59,543,177,381,56,136,449,259,293,29
22,548,136,46,77,66,162,173,283,94,25
419,735,590,162,134,103,170,194,11,196,66
294,349,468,190,145,100,63,503,136,51,52
150,617,416,104,93,115,361,377,41,154,5
39,321,353,106,152,54,333,490,133,100,33
191,319,521,3,319,30,83,387,182,124,4
351,775,290,143,0,83,269,517,156,179,64
351,775,290,237,0,83,269,517,142,29,64
213,740,269,90,170,33,308,163,175,20,38
155,482,37,24,462,46,548,143,259,312,55
276,466,212,230,241,13,250,389,179,157,84
359,495,288,21,219,114,452,313,219,80,50
380,624,80,29,276,6,363,123,119,140,73
87,63,17,181,115,0,76,509,59,94,56
166,771,191,38,482,33,440,438,2,266,44
261,448,483,75,62,53,274,204,289,395,23
389,385,80,29,276,6,493,123,119,32,73
30,532,415,53,31,60,351,450,55,151,96
276,466,212,230,241,13,250,389,154,157,84
88,448,483,75,62,33,274,204,179,395,23
82,642,424,12,314,16,468,256,149,98,86
404,377,355,64,18,86,434,10,139,267,24
370,299,28,105,373,98,253,91,71,76,46
84,609,153,114,199,87,156,580,227,225,0
282,342,67,199,331,106,545,111,155,85,7
150,388,416,104,93,115,173,377,41,154,5
328,469,80,189,394,67,283,533,143,377,98
54,258,491,49,172,90,151,291,224,201,72
389,27,525,101,209,42,447,445,285,343,74
88,448,67,75,333,33,274,204,289,395,23
41,231,42,225,124,80,247,537,97,238,37
389,27,525,228,209,42,263,445,285,30,74
75,140,488,7,344,24,258,393,137,47,28
168,648,2,112,182,94,459,571,178,65,97
299,351,495,8,377,83,512,1,266,79,75
119,59,543,177,142,56,198,449,259,293,29
30,842,475,37,426,49,34,604,219,316,58
155,554,37,24,462,46,239,143,271,312,55
349,707,522,57,216,111,101,557,237,123,34
404,377,355,64,34,86,243,10,149,267,24
438,382,109,252,292,73,425,251,157,337,35
370,444,164,53,460,92,464,355,86,228,17
329,231,42,225,124,80,241,537,8,238,37
416,421,521,3,319,30,83,387,182,124,4
168,648,2,112,182,94,404,571,49,325,97
51,465,115,28,257,17,400,449,249,96,18
88,448,483,75,62,90,274,204,289,395,23
283,195,303,29,268,65,494,430,223,253,83
283,465,303,29,268,65,9,430,223,253,83
195,197,422,190,90,102,222,294,233,403,94
144,774,420,157,202,88,524,513,57,165,48
30,842,123,118,426,49,34,604,219,316,58
109,258,491,49,172,90,339,291,26,106,72
275,432,392,140,264,48,487,149,243,286,39
48,492,546,205,460,23,513,300,28,177,40
155,482,37,24,462,11,239,143,271,312,55
351,775,290,143,326,83,269,277,142,29,64
140,247,168,138,310,68,202,303,108,257,79
19,482,37,24,462,46,239,143,271,312,55
331,209,471,15,156,7,20,136,146,50,76
75,753,488,7,344,24,258,393,137,184,28
237,840,147,118,410,6,576,492,155,420,13
284,492,546,205,243,23,513,557,28,209,40
168,225,2,112,182,94,404,571,178,325,97
237,343,389,118,33,6,576,492,155,183,13
28,115,17,181,115,0,40,612,59,94,56
344,707,522,77,291,111,101,557,237,123,34
84,36,274,131,214,98,560,115,167,267,6
389,27,525,228,209,42,520,445,285,343,74
430,232,474,204,449,34,487,554,75,146,77
60,411,17,193,51,81,462,336,227,232,62
316,559,63,6,27,66,525,92,293,127,30
82,642,424,12,337,16,468,182,275,98,86
82,642,424,53,289,16,468,256,275,98,86
75,753,488,7,344,24,258,393,207,47,28
27,444,164,53,64,92,362,355,86,306,17
84,609,153,209,199,87,112,580,227,225,0
371,483,421,98,242,71,414,499,73,111,99
389,27,525,228,209,81,263,445,285,343,74
370,444,164,53,64,92,464,355,192,306,17
299,351,495,8,377,83,512,320,266,69,75
370,195,28,105,373,98,253,91,71,76,46
